22:30:12:317	f1557700	gd 2.62
22:30:12:318	e7fff700	gd 3.62
22:30:12:602	f2559700	gd 1.62
22:30:12:603	e6ffd700	gd 4.62
22:30:12:947	f355b700	gd 0.62
22:30:15:243	e5ffb700	sent: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x8eb6cfd", "0x0000000000000000000000000000000000000000000000000000000032161909"]}

22:30:15:244	e5ffb700	ETH: checking pool connection...
22:30:15:244	e5ffb700	sent: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

22:30:15:479	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x976325f7b81da827f9948fa031f0a1abc62ea2fcfc53e161517e1549757ad979","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:15:698	1cc39700	GPU #0: apply best detected -dcri value: 6
22:30:15:698	1cc39700	GPU #1: apply best detected -dcri value: 6
22:30:15:698	1cc39700	GPU #2: apply best detected -dcri value: 8
22:30:15:698	1cc39700	GPU #3: apply best detected -dcri value: 6
22:30:15:698	1cc39700	GPU #4: apply best detected -dcri value: 8
22:30:15:698	1cc39700	Automatic detection of best -dcri values completed
22:30:15:890	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x17158b32a6e97e45d17ae4d6876a9707238d31bc361b018f6414682de02c0bbb","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:15:891	e5ffb700	ETH: 05/28/18-22:30:15 - New job from eth-eu1.nanopool.org:9999
22:30:15:891	e5ffb700	target: 0x000000006df37f67 (diff: 10000MH), epoch 189(2.48GB)
22:30:15:891	e5ffb700	ETH - Total Speed: 150.163 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
22:30:15:891	e5ffb700	ETH: GPU0 29.529 Mh/s, GPU1 30.152 Mh/s, GPU2 30.160 Mh/s, GPU3 30.159 Mh/s, GPU4 30.163 Mh/s
22:30:18:673	1c438700	GPU0 t=59C fan=34%, GPU1 t=52C fan=34%, GPU2 t=60C fan=34%, GPU3 t=64C fan=36%, GPU4 t=62C fan=35%
22:30:18:700	1cc39700	em hbt: 0, fm hbt: 56, 
22:30:18:700	1cc39700	watchdog - thread 0 (gpu0), hb time 276
22:30:18:700	1cc39700	watchdog - thread 1 (gpu0), hb time 556
22:30:18:700	1cc39700	watchdog - thread 2 (gpu1), hb time 58
22:30:18:700	1cc39700	watchdog - thread 3 (gpu1), hb time 333
22:30:18:700	1cc39700	watchdog - thread 4 (gpu2), hb time 332
22:30:18:700	1cc39700	watchdog - thread 5 (gpu2), hb time 57
22:30:18:700	1cc39700	watchdog - thread 6 (gpu3), hb time 333
22:30:18:700	1cc39700	watchdog - thread 7 (gpu3), hb time 58
22:30:18:700	1cc39700	watchdog - thread 8 (gpu4), hb time 57
22:30:18:700	1cc39700	watchdog - thread 9 (gpu4), hb time 332
22:30:25:245	e5ffb700	ETH: checking pool connection...
22:30:25:245	e5ffb700	sent: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

22:30:25:347	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x17158b32a6e97e45d17ae4d6876a9707238d31bc361b018f6414682de02c0bbb","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:35:244	e5ffb700	sent: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x9118701", "0x0000000000000000000000000000000000000000000000000000000032161909"]}

22:30:35:246	e5ffb700	ETH: checking pool connection...
22:30:35:246	e5ffb700	sent: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

22:30:35:483	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x17158b32a6e97e45d17ae4d6876a9707238d31bc361b018f6414682de02c0bbb","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:36:111	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x811ee0b4f17507fc6bb491c6f11e7c756f8810162e88c00326e90c161ce4d8a5","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:36:111	e5ffb700	ETH: 05/28/18-22:30:36 - New job from eth-eu1.nanopool.org:9999
22:30:36:111	e5ffb700	target: 0x000000006df37f67 (diff: 10000MH), epoch 189(2.48GB)
22:30:36:111	e5ffb700	ETH - Total Speed: 152.007 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
22:30:36:111	e5ffb700	ETH: GPU0 30.019 Mh/s, GPU1 30.507 Mh/s, GPU2 30.488 Mh/s, GPU3 30.506 Mh/s, GPU4 30.488 Mh/s
22:30:45:247	e5ffb700	ETH: checking pool connection...
22:30:45:247	e5ffb700	sent: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

22:30:45:347	e5ffb700	buf: {"jsonrpc":"2.0","id":0,"result":["0x811ee0b4f17507fc6bb491c6f11e7c756f8810162e88c00326e90c161ce4d8a5","0x7bb6f14a940828054edc1aa9ec9f31e274e036a730709926e1f2900225e2f745","0x000000006df37f675ef6eadf5ab9a2072d44268d97df837e6748956e5c6c2116"]}

22:30:48:676	1c438700	GPU0 t=65C fan=40%, GPU1 t=57C fan=36%, GPU2 t=65C fan=41%, GPU3 t=68C fan=43%, GPU4 t=66C fan=41%
